Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 23.53      0.04     0.04  1148232     0.00     0.00  mesh_eight_node_hexahedron_h
 17.65      0.07     0.03    40704     0.00     0.00  mesh_compute_dxdr
 11.76      0.09     0.02  2755800     0.00     0.00  mesh_eight_node_hexahedron_dhdr
 11.76      0.11     0.02    12688     0.00     0.00  mesh_compute_dhdx
 11.76      0.13     0.02     1716     0.01     0.06  sn_elements_build_elemental_objects
  5.88      0.14     0.01   674046     0.00     0.00  mesh_six_node_prism_dhdr
  5.88      0.15     0.01    40704     0.00     0.00  mesh_integration_weight
  5.88      0.16     0.01    12688     0.00     0.00  mesh_compute_B
  5.88      0.17     0.01     1716     0.01     0.02  mesh_integral_over_element
  0.00      0.17     0.00   280842     0.00     0.00  mesh_six_node_prism_h
  0.00      0.17     0.00    56720     0.00     0.00  mesh_subtract
  0.00      0.17     0.00    53392     0.00     0.00  mesh_determinant
  0.00      0.17     0.00    52571     0.00     0.00  wasora_evaluate_expression
  0.00      0.17     0.00    40704     0.00     0.00  mesh_compute_h
  0.00      0.17     0.00    38440     0.00     0.00  mesh_four_node_quad_dhdr
  0.00      0.17     0.00    23272     0.00     0.00  mesh_dot
  0.00      0.17     0.00    17472     0.00     0.00  mesh_cross_dot
  0.00      0.17     0.00    15329     0.00     0.00  mesh_alloc_fem_objects
  0.00      0.17     0.00    15328     0.00     0.00  mesh_add_element_to_list
  0.00      0.17     0.00    12688     0.00     0.00  mesh_add_material_to_list
  0.00      0.17     0.00    12688     0.00     0.00  mesh_compute_H
  0.00      0.17     0.00    12688     0.00     0.01  mesh_compute_fem_objects_at_gauss
  0.00      0.17     0.00    12688     0.00     0.00  mesh_compute_l
  0.00      0.17     0.00    12688     0.00     0.00  mesh_compute_x
  0.00      0.17     0.00    12688     0.00     0.00  mesh_inverse
  0.00      0.17     0.00    10560     0.00     0.00  PetscMemcpy
  0.00      0.17     0.00     9620     0.00     0.00  mesh_four_node_quad_h
  0.00      0.17     0.00     3076     0.00     0.00  mesh_compute_element_barycenter
  0.00      0.17     0.00     2904     0.00     0.00  mesh_three_node_triang_dhdr
  0.00      0.17     0.00     2832     0.00     0.00  mesh_normalized_cross
  0.00      0.17     0.00     2640     0.00     0.00  sn_elements_add_vacuum_bc
  0.00      0.17     0.00     2392     0.00     0.00  mesh_hexahedron_vol
  0.00      0.17     0.00     2268     0.00     0.00  mesh_twentyseven_node_hexahedron_dhdr
  0.00      0.17     0.00     2152     0.00     0.00  mesh_cross
  0.00      0.17     0.00     1964     0.00     0.00  mesh_count_common_nodes
  0.00      0.17     0.00     1806     0.00     0.00  insert_rec
  0.00      0.17     0.00     1806     0.00     0.00  kd_insert
  0.00      0.17     0.00     1805     0.00     0.00  hyperrect_extend
  0.00      0.17     0.00     1680     0.00     0.00  mesh_twenty_node_hexahedron_dhdr
  0.00      0.17     0.00     1040     0.00     0.00  mesh_prism_vol
  0.00      0.17     0.00      756     0.00     0.00  mesh_twentyseven_node_hexahedron_h
  0.00      0.17     0.00      732     0.00     0.00  mesh_three_node_triang_h
  0.00      0.17     0.00      680     0.00     0.00  mesh_find_element_volumetric_neighbor
  0.00      0.17     0.00      680     0.00     0.00  mesh_subtract_dot
  0.00      0.17     0.00      680     0.00     0.00  sn_elements_compute_outward_normal
  0.00      0.17     0.00      560     0.00     0.00  mesh_twenty_node_hexahedron_h
  0.00      0.17     0.00      180     0.00     0.00  mesh_nine_node_quad_dhdr
  0.00      0.17     0.00      166     0.00     0.00  wasora_get_next_token
  0.00      0.17     0.00      160     0.00     0.00  mesh_eight_node_quad_dhdr
  0.00      0.17     0.00      150     0.00     0.00  mesh_ten_node_tetrahedron_dhdr
