Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 50.00      0.01     0.01    14644     0.00     0.00  mesh_inverse
 50.00      0.02     0.01     3661     0.00     0.01  sn_elements_build_elemental_objects
  0.00      0.02     0.00  2108796     0.00     0.00  mesh_four_node_tetrahedron_dhdr
  0.00      0.02     0.00   878660     0.00     0.00  mesh_four_node_tetrahedron_h
  0.00      0.02     0.00    62536     0.00     0.00  mesh_determinant
  0.00      0.02     0.00    59544     0.00     0.00  wasora_evaluate_expression
  0.00      0.02     0.00    47892     0.00     0.00  mesh_compute_dxdr
  0.00      0.02     0.00    47892     0.00     0.00  mesh_compute_h
  0.00      0.02     0.00    47892     0.00     0.00  mesh_integration_weight
  0.00      0.02     0.00    47544     0.00     0.00  mesh_three_node_triang_dhdr
  0.00      0.02     0.00    34968     0.00     0.00  mesh_dot
  0.00      0.02     0.00    28542     0.00     0.00  mesh_subtract
  0.00      0.02     0.00    18605     0.00     0.00  mesh_alloc_fem_objects
  0.00      0.02     0.00    18604     0.00     0.00  mesh_add_element_to_list
  0.00      0.02     0.00    15840     0.00     0.00  PetscMemcpy
  0.00      0.02     0.00    14644     0.00     0.00  mesh_add_material_to_list
  0.00      0.02     0.00    14644     0.00     0.00  mesh_compute_B
  0.00      0.02     0.00    14644     0.00     0.00  mesh_compute_H
  0.00      0.02     0.00    14644     0.00     0.00  mesh_compute_dhdx
  0.00      0.02     0.00    14644     0.00     0.00  mesh_compute_fem_objects_at_gauss
  0.00      0.02     0.00    14644     0.00     0.00  mesh_compute_l
  0.00      0.02     0.00    14644     0.00     0.00  mesh_compute_x
  0.00      0.02     0.00    11892     0.00     0.00  mesh_three_node_triang_h
  0.00      0.02     0.00     8710     0.00     0.00  mesh_count_common_nodes
  0.00      0.02     0.00     7322     0.00     0.00  mesh_cross_dot
  0.00      0.02     0.00     7322     0.00     0.00  mesh_tetrahedron_vol
  0.00      0.02     0.00     6301     0.00     0.00  mesh_compute_element_barycenter
  0.00      0.02     0.00     4608     0.00     0.00  mesh_normalized_cross
  0.00      0.02     0.00     3960     0.00     0.00  sn_elements_add_vacuum_bc
  0.00      0.02     0.00     3661     0.00     0.00  mesh_integral_over_element
  0.00      0.02     0.00     3288     0.00     0.00  mesh_cross
  0.00      0.02     0.00     2268     0.00     0.00  mesh_twentyseven_node_hexahedron_dhdr
  0.00      0.02     0.00     1680     0.00     0.00  mesh_twenty_node_hexahedron_dhdr
  0.00      0.02     0.00     1320     0.00     0.00  mesh_find_element_volumetric_neighbor
  0.00      0.02     0.00     1320     0.00     0.00  mesh_subtract_dot
  0.00      0.02     0.00     1320     0.00     0.00  sn_elements_compute_outward_normal
  0.00      0.02     0.00      955     0.00     0.00  insert_rec
  0.00      0.02     0.00      955     0.00     0.00  kd_insert
  0.00      0.02     0.00      954     0.00     0.00  hyperrect_extend
  0.00      0.02     0.00      756     0.00     0.00  mesh_twentyseven_node_hexahedron_h
  0.00      0.02     0.00      560     0.00     0.00  mesh_twenty_node_hexahedron_h
  0.00      0.02     0.00      216     0.00     0.00  mesh_eight_node_hexahedron_dhdr
  0.00      0.02     0.00      180     0.00     0.00  mesh_nine_node_quad_dhdr
  0.00      0.02     0.00      166     0.00     0.00  wasora_get_next_token
  0.00      0.02     0.00      160     0.00     0.00  mesh_eight_node_quad_dhdr
  0.00      0.02     0.00      150     0.00     0.00  mesh_ten_node_tetrahedron_dhdr
  0.00      0.02     0.00      126     0.00     0.00  mesh_six_node_prism_dhdr
  0.00      0.02     0.00      120     0.00     0.00  wasora_mesh_add_node_parent
  0.00      0.02     0.00      100     0.00     0.00  wasora_read_line
  0.00      0.02     0.00       98     0.00     0.00  wasora_check_name
  0.00      0.02     0.00       90     0.00     0.00  mesh_nine_node_quad_h
  0.00      0.02     0.00       80     0.00     0.00  mesh_eight_node_quad_h
  0.00      0.02     0.00       72     0.00     0.00  mesh_eight_node_hexahedron_h
  0.00      0.02     0.00       70     0.00     0.00  wasora_define_variable
  0.00      0.02     0.00       70     0.00     0.00  wasora_free_var
  0.00      0.02     0.00       50     0.00     0.00  mesh_ten_node_tetrahedron_h
  0.00      0.02     0.00       50     0.00     0.00  wasora_mesh_compute_coords_from_parent
  0.00      0.02     0.00       48     0.00     0.00  mesh_six_node_triang_dhdr
  0.00      0.02     0.00       42     0.00     0.00  mesh_six_node_prism_h
  0.00      0.02     0.00       40     0.00     0.00  mesh_four_node_quad_dhdr
  0.00      0.02     0.00       34     0.00     0.00  wasora_parse_factor
  0.00      0.02     0.00       32     0.00     0.00  wasora_destroy_expression
  0.00      0.02     0.00       30     0.00     0.00  wasora_parser_match_keyword_expression
  0.00      0.02     0.00       30     0.00     0.00  wasora_parser_string
  0.00      0.02     0.00       28     0.00     0.00  mesh_alloc_gauss
  0.00      0.02     0.00       26     0.00     0.00  mesh_init_shape_at_gauss
  0.00      0.02     0.00       26     0.00     0.00  wasora_parse_madeup_expression
  0.00      0.02     0.00       25     0.00     0.00  wasora_get_vector_ptr
  0.00      0.02     0.00       24     0.00     0.00  mesh_six_node_triang_h
  0.00      0.02     0.00       24     0.00     0.00  wasora_get_matrix_ptr
  0.00      0.02     0.00       20     0.00     0.00  mesh_four_node_quad_h
  0.00      0.02     0.00       19     0.00     0.00  wasora_parse_line
  0.00      0.02     0.00       19     0.00     0.00  wasora_pop_error_message
  0.00      0.02     0.00       18     0.00     0.00  wasora_define_function
  0.00      0.02     0.00       18     0.00     0.00  wasora_free_function
