Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 43.16      5.33     5.33 176357592     0.00     0.00  mesh_eight_node_hexahedron_dhdr
 11.42      6.74     1.41 43131006     0.00     0.00  mesh_six_node_prism_dhdr
 11.26      8.13     1.39  2520576     0.00     0.00  mesh_compute_dxdr
  5.59      8.82     0.69 34291784     0.00     0.00  mesh_eight_node_hexahedron_h
  5.59      9.51     0.69   854272     0.00     0.00  mesh_compute_dhdx
  2.59      9.83     0.32  5726477     0.00     0.00  wasora_evaluate_expression
  2.11     10.09     0.26        1     0.26     2.97  wasora_instruction_mesh
  1.54     10.28     0.19  8386602     0.00     0.00  mesh_six_node_prism_h
  1.30     10.44     0.16  3374848     0.00     0.00  mesh_determinant
  1.30     10.60     0.16   854272     0.00     0.00  mesh_compute_B
  1.21     10.75     0.15   854272     0.00     0.00  mesh_compute_l
  1.13     10.89     0.14  2520576     0.00     0.00  mesh_compute_h
  1.05     11.02     0.13  9664512     0.00     0.00  mesh_cross_dot
  1.01     11.15     0.13   854272     0.00     0.00  mesh_compute_x
  0.89     11.26     0.11  2520576     0.00     0.00  mesh_integration_weight
  0.89     11.37     0.11   109824     0.00     0.00  diffusion_elements_build_volume_objects
  0.89     11.48     0.11        1     0.11     0.41  diffusion_elements_results_fill_power
  0.81     11.58     0.10    98421     0.00     0.00  insert_rec
  0.73     11.67     0.09   854272     0.00     0.00  mesh_inverse
  0.73     11.76     0.09   109824     0.00     0.00  mesh_integral_over_element
  0.73     11.85     0.09 29131264     0.00     0.00  mesh_subtract
  0.49     11.91     0.06        1     0.06     0.06  mesh_vtk_write_unstructured_mesh
  0.40     11.96     0.05  1377792     0.00     0.00  mesh_hexahedron_vol
  0.40     12.01     0.05        1     0.05     0.07  mesh_free
  0.32     12.05     0.04  1843240     0.00     0.00  mesh_four_node_quad_dhdr
  0.32     12.09     0.04   812032     0.00     0.00  mesh_add_material_to_list
  0.32     12.13     0.04   109824     0.00     0.00  mesh_compute_element_barycenter
