Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 26.96      5.33     5.33 176357592     0.00     0.00  mesh_eight_node_hexahedron_dhdr
 24.68     10.21     4.88   109824     0.00     0.00  sn_elements_build_elemental_objects
  8.04     11.80     1.59   812032     0.00     0.00  mesh_compute_B
  7.54     13.29     1.49 73482312     0.00     0.00  mesh_eight_node_hexahedron_h
  7.18     14.71     1.42  2478336     0.00     0.00  mesh_compute_dxdr
  5.51     15.80     1.09 43131006     0.00     0.00  mesh_six_node_prism_dhdr
  2.88     16.37     0.57   812032     0.00     0.00  mesh_compute_dhdx
  2.12     16.79     0.42   812032     0.00     0.00  mesh_compute_l
  2.02     17.19     0.40 17971242     0.00     0.00  mesh_six_node_prism_h
  1.92     17.57     0.38        1     0.38     3.03  wasora_instruction_mesh
  1.72     17.91     0.34   812032     0.00     0.00  mesh_compute_H
  1.72     18.25     0.34  3346562     0.00     0.00  wasora_evaluate_expression
  1.06     18.46     0.21  3290368     0.00     0.00  mesh_determinant
  0.83     18.63     0.17   812032     0.00     0.00  mesh_compute_x
  0.81     18.79     0.16  2478336     0.00     0.00  mesh_integration_weight
  0.76     18.94     0.15   812032     0.00     0.00  mesh_inverse
  0.61     19.06     0.12  2478336     0.00     0.00  mesh_compute_h
  0.51     19.16     0.10        1     0.10     0.13  mesh_gmsh_readmesh
  0.40     19.24     0.08   109824     0.00     0.00  mesh_integral_over_element
  0.35     19.31     0.07        1     0.07     0.07  sn_elements_results_fill_flux
  0.35     19.38     0.07        1     0.07     0.08  sn_elements_results_fill_power
  0.25     19.43     0.05        1     0.05     0.06  mesh_free
  0.25     19.48     0.05        1     0.05     0.05  mesh_vtk_write_unstructured_mesh
  0.20     19.52     0.04    98421     0.00     0.00  insert_rec
  0.20     19.56     0.04        1     0.04     0.04  mesh_eight_node_hexahedron_init
  0.15     19.59     0.03   854272     0.00     0.00  mesh_add_element_to_list
  0.10     19.61     0.02  3423488     0.00     0.00  mesh_subtract
  0.10     19.63     0.02   812032     0.00     0.00  mesh_compute_fem_objects_at_gauss
  0.10     19.65     0.02   131584     0.00     0.00  mesh_compute_element_barycenter
  0.10     19.67     0.02        1     0.02    14.01  sn_elements_matrices_build
  0.05     19.68     0.01   854273     0.00     0.00  mesh_alloc_fem_objects
  0.05     19.69     0.01   614440     0.00     0.00  mesh_four_node_quad_dhdr
  0.05     19.70     0.01   153620     0.00     0.00  mesh_four_node_quad_h
  0.05     19.71     0.01   153088     0.00     0.00  mesh_hexahedron_vol
  0.05     19.72     0.01    66560     0.00     0.00  mesh_prism_vol
  0.05     19.73     0.01    42240     0.00     0.00  sn_elements_add_vacuum_bc
  0.05     19.74     0.01    29576     0.00     0.00  mesh_count_common_nodes
  0.05     19.75     0.01    10880     0.00     0.00  mesh_find_element_volumetric_neighbor
  0.05     19.76     0.01        1     0.01     0.01  clear_rec
  0.05     19.77     0.01        1     0.01     2.43  sn_elements_normalize_flux
  0.03     19.77     0.01                             mesh_compute_r
  0.00     19.77     0.00  1118208     0.00     0.00  mesh_cross_dot
  0.00     19.77     0.00   812032     0.00     0.00  mesh_add_material_to_list
  0.00     19.77     0.00   372352     0.00     0.00  mesh_dot
  0.00     19.77     0.00   168960     0.00     0.00  PetscMemcpy
  0.00     19.77     0.00    98421     0.00     0.00  kd_insert
  0.00     19.77     0.00    98420     0.00     0.00  hyperrect_extend
  0.00     19.77     0.00    46104     0.00     0.00  mesh_three_node_triang_dhdr
  0.00     19.77     0.00    45312     0.00     0.00  mesh_normalized_cross
  0.00     19.77     0.00    34432     0.00     0.00  mesh_cross
  0.00     19.77     0.00    11532     0.00     0.00  mesh_three_node_triang_h
  0.00     19.77     0.00    10880     0.00     0.00  mesh_subtract_dot
  0.00     19.77     0.00    10880     0.00     0.00  sn_elements_compute_outward_normal
  0.00     19.77     0.00     2268     0.00     0.00  mesh_twentyseven_node_hexahedron_dhdr
  0.00     19.77     0.00     1680     0.00     0.00  mesh_twenty_node_hexahedron_dhdr
  0.00     19.77     0.00      756     0.00     0.00  mesh_twentyseven_node_hexahedron_h
  0.00     19.77     0.00      560     0.00     0.00  mesh_twenty_node_hexahedron_h
  0.00     19.77     0.00      180     0.00     0.00  mesh_nine_node_quad_dhdr
  0.00     19.77     0.00      172     0.00     0.00  wasora_get_next_token
  0.00     19.77     0.00      160     0.00     0.00  mesh_eight_node_quad_dhdr
  0.00     19.77     0.00      150     0.00     0.00  mesh_ten_node_tetrahedron_dhdr
  0.00     19.77     0.00      120     0.00     0.00  wasora_mesh_add_node_parent
  0.00     19.77     0.00      114     0.00     0.00  wasora_read_line
  0.00     19.77     0.00       98     0.00     0.00  wasora_check_name
  0.00     19.77     0.00       90     0.00     0.00  mesh_nine_node_quad_h
  0.00     19.77     0.00       80     0.00     0.00  mesh_eight_node_quad_h
  0.00     19.77     0.00       70     0.00     0.00  wasora_define_variable
  0.00     19.77     0.00       70     0.00     0.00  wasora_free_var
  0.00     19.77     0.00       60     0.00     0.00  mesh_four_node_tetrahedron_dhdr
  0.00     19.77     0.00       50     0.00     0.00  mesh_ten_node_tetrahedron_h
  0.00     19.77     0.00       50     0.00     0.00  wasora_mesh_compute_coords_from_parent
  0.00     19.77     0.00       48     0.00     0.00  mesh_six_node_triang_dhdr
  0.00     19.77     0.00       37     0.00     0.00  wasora_destroy_expression
  0.00     19.77     0.00       36     0.00     0.00  wasora_parser_match_keyword_expression
  0.00     19.77     0.00       35     0.00     0.00  wasora_parse_factor
  0.00     19.77     0.00       33     0.00     0.00  wasora_parser_string
