Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 40.98      2.25     2.25  5057948     0.00     0.00  mesh_count_common_nodes
 24.04      3.57     1.32 44089560     0.00     0.00  mesh_eight_node_hexahedron_dhdr
 10.20      4.13     0.56   854272     0.00     0.00  mesh_compute_dxdr
  5.83      4.45     0.32 10782846     0.00     0.00  mesh_six_node_prism_dhdr
  4.37      4.69     0.24        1     0.24     2.49  mesh_find_neighbors
  4.01      4.91     0.22        1     0.22     2.94  wasora_instruction_mesh
  1.82      5.01     0.10  4898888     0.00     0.00  mesh_eight_node_hexahedron_h
  1.28      5.08     0.07   854272     0.00     0.00  mesh_add_element_to_list
  1.09      5.14     0.06   854272     0.00     0.00  mesh_determinant
  1.09      5.20     0.06    98421     0.00     0.00  insert_rec
  1.09      5.26     0.06        1     0.06     0.14  mesh_gmsh_readmesh
  0.73      5.30     0.04        1     0.04     0.04  mesh_free
  0.55      5.33     0.03  1198122     0.00     0.00  mesh_six_node_prism_h
  0.55      5.36     0.03   854272     0.00     0.00  mesh_compute_h
  0.55      5.39     0.03   109824     0.00     0.00  mesh_compute_element_barycenter
  0.36      5.41     0.02   854272     0.00     0.00  mesh_integration_weight
  0.36      5.43     0.02   559104     0.00     0.00  mesh_cross_dot
  0.27      5.45     0.02   614440     0.00     0.00  mesh_four_node_quad_dhdr
  0.18      5.46     0.01   812032     0.00     0.00  mesh_add_material_to_list
  0.18      5.47     0.01        1     0.01     0.06  mesh_element2cell
  0.18      5.48     0.01                             hyperrect_duplicate
  0.18      5.49     0.01                             kd_data_destructor
  0.09      5.49     0.01   153620     0.00     0.00  mesh_four_node_quad_h
  0.00      5.49     0.00  1746176     0.00     0.00  mesh_subtract
  0.00      5.49     0.00   854272     0.00     0.00  mesh_alloc_fem_objects
  0.00      5.49     0.00    98421     0.00     0.00  kd_insert
  0.00      5.49     0.00    98420     0.00     0.00  hyperrect_extend
  0.00      5.49     0.00    76544     0.00     0.00  mesh_hexahedron_vol
  0.00      5.49     0.00    46104     0.00     0.00  mesh_three_node_triang_dhdr
  0.00      5.49     0.00    34432     0.00     0.00  mesh_cross
  0.00      5.49     0.00    34432     0.00     0.00  mesh_dot
  0.00      5.49     0.00    34432     0.00     0.00  mesh_normalized_cross
  0.00      5.49     0.00    33280     0.00     0.00  mesh_prism_vol
  0.00      5.49     0.00    11532     0.00     0.00  mesh_three_node_triang_h
  0.00      5.49     0.00     2268     0.00     0.00  mesh_twentyseven_node_hexahedron_dhdr
  0.00      5.49     0.00     1680     0.00     0.00  mesh_twenty_node_hexahedron_dhdr
  0.00      5.49     0.00      756     0.00     0.00  mesh_twentyseven_node_hexahedron_h
  0.00      5.49     0.00      560     0.00     0.00  mesh_twenty_node_hexahedron_h
  0.00      5.49     0.00      180     0.00     0.00  mesh_nine_node_quad_dhdr
  0.00      5.49     0.00      172     0.00     0.00  wasora_get_next_token
  0.00      5.49     0.00      160     0.00     0.00  mesh_eight_node_quad_dhdr
  0.00      5.49     0.00      150     0.00     0.00  mesh_ten_node_tetrahedron_dhdr
  0.00      5.49     0.00      120     0.00     0.00  wasora_mesh_add_node_parent
  0.00      5.49     0.00      114     0.00     0.00  wasora_read_line
  0.00      5.49     0.00       90     0.00     0.00  mesh_nine_node_quad_h
  0.00      5.49     0.00       90     0.00     0.00  wasora_check_name
  0.00      5.49     0.00       80     0.00     0.00  mesh_eight_node_quad_h
  0.00      5.49     0.00       70     0.00     0.00  wasora_define_variable
  0.00      5.49     0.00       70     0.00     0.00  wasora_free_var
  0.00      5.49     0.00       60     0.00     0.00  mesh_four_node_tetrahedron_dhdr
  0.00      5.49     0.00       50     0.00     0.00  mesh_ten_node_tetrahedron_h
  0.00      5.49     0.00       50     0.00     0.00  wasora_mesh_compute_coords_from_parent
  0.00      5.49     0.00       48     0.00     0.00  mesh_six_node_triang_dhdr
  0.00      5.49     0.00       37     0.00     0.00  wasora_destroy_expression
  0.00      5.49     0.00       36     0.00     0.00  wasora_parser_match_keyword_expression
  0.00      5.49     0.00       35     0.00     0.00  wasora_parse_factor
  0.00      5.49     0.00       33     0.00     0.00  wasora_parser_string
  0.00      5.49     0.00       28     0.00     0.00  mesh_alloc_gauss
  0.00      5.49     0.00       27     0.00     0.00  wasora_get_vector_ptr
  0.00      5.49     0.00       27     0.00     0.00  wasora_parse_madeup_expression
  0.00      5.49     0.00       26     0.00     0.00  mesh_init_shape_at_gauss
  0.00      5.49     0.00       26     0.00     0.00  wasora_get_matrix_ptr
  0.00      5.49     0.00       24     0.00     0.00  mesh_six_node_triang_h
  0.00      5.49     0.00       22     0.00     0.00  wasora_pop_error_message
  0.00      5.49     0.00       20     0.00     0.00  mesh_four_node_tetrahedron_h
  0.00      5.49     0.00       20     0.00     0.00  wasora_parse_line
  0.00      5.49     0.00       17     0.00     0.00  wasora_ends_in_init
  0.00      5.49     0.00       17     0.00     0.00  wasora_ends_in_zero
  0.00      5.49     0.00       17     0.00     0.00  wasora_get_builtin_function_ptr
  0.00      5.49     0.00       17     0.00     0.00  wasora_get_builtin_functional_ptr
  0.00      5.49     0.00       17     0.00     0.00  wasora_get_builtin_vectorfunction_ptr
  0.00      5.49     0.00       17     0.00     0.00  wasora_get_function_ptr
  0.00      5.49     0.00       17     0.00     0.00  wasora_get_variable_ptr
  0.00      5.49     0.00       15     0.00     0.00  wasora_define_instruction
  0.00      5.49     0.00       14     0.00     0.00  wasora_add_leading_zeros
  0.00      5.49     0.00       14     0.00     0.00  wasora_parse_expression
  0.00      5.49     0.00       14     0.00     0.00  wasora_strip_blanks
  0.00      5.49     0.00       10     0.00     0.00  wasora_define_function
  0.00      5.49     0.00       10     0.00     0.00  wasora_free_function
  0.00      5.49     0.00        9     0.00     0.00  mesh_three_node_line_dhdr
  0.00      5.49     0.00        9     0.00     0.00  mesh_three_node_line_h
  0.00      5.49     0.00        8     0.00     0.00  milonga_resolve_xs_expr
  0.00      5.49     0.00        8     0.00     0.00  wasora_define_vector
  0.00      5.49     0.00        8     0.00     0.00  wasora_free_vector
  0.00      5.49     0.00        8     0.00     0.00  wasora_mesh_parse_line
  0.00      5.49     0.00        6     0.00     0.00  mesh_two_node_line_dhdr
  0.00      5.49     0.00        6     0.00     0.00  mesh_two_node_line_h
  0.00      5.49     0.00        5     0.00     0.00  wasora_define_file
  0.00      5.49     0.00        5     0.00     0.00  wasora_evaluate_expression
  0.00      5.49     0.00        4     0.00     0.00  plugin_parse_line
  0.00      5.49     0.00        4     0.00     0.00  wasora_define_physical_property
  0.00      5.49     0.00        4     0.00     0.00  wasora_define_property_data
