Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 33.92      3.49     3.49   234304     0.00     0.00  sn_elements_build_elemental_objects
 12.73      4.80     1.31  2875008     0.00     0.00  mesh_compute_dxdr
 10.16      5.85     1.05   937216     0.00     0.00  mesh_compute_B
  7.97      6.67     0.82 134959164     0.00     0.00  mesh_four_node_tetrahedron_dhdr
  6.32      7.32     0.65 56232980     0.00     0.00  mesh_four_node_tetrahedron_h
  3.30      7.66     0.34   937216     0.00     0.00  mesh_compute_dhdx
  3.06      7.97     0.32   937216     0.00     0.00  mesh_compute_l
  2.82      8.26     0.29  3793264     0.00     0.00  wasora_evaluate_expression
  2.24      8.49     0.23   937216     0.00     0.00  mesh_compute_H
  2.04      8.70     0.21  3812224     0.00     0.00  mesh_determinant
  1.94      8.90     0.20        1     0.20     1.40  wasora_instruction_mesh
  1.94      9.10     0.20  1000576     0.00     0.00  mesh_add_element_to_list
  1.85      9.29     0.19  2875008     0.00     0.00  mesh_integration_weight
  1.65      9.46     0.17   937216     0.00     0.00  mesh_inverse
  1.65      9.63     0.17   937216     0.00     0.00  mesh_compute_x
  0.97      9.73     0.10        1     0.10     0.10  mesh_free
  0.87      9.82     0.09        1     0.09     0.09  sn_elements_results_fill_power
  0.78      9.90     0.08        1     0.08     0.08  mesh_vtk_write_unstructured_mesh
  0.68      9.97     0.07  2875008     0.00     0.00  mesh_compute_h
  0.39     10.01     0.04   468608     0.00     0.00  mesh_tetrahedron_vol
  0.39     10.05     0.04        1     0.04     0.04  sn_elements_results_fill_flux
  0.29     10.08     0.03   276544     0.00     0.00  mesh_compute_element_barycenter
  0.29     10.11     0.03    44387     0.00     0.00  insert_rec
  0.29     10.14     0.03        1     0.03     0.23  mesh_gmsh_readmesh
  0.19     10.16     0.02   937216     0.00     0.00  mesh_compute_fem_objects_at_gauss
  0.19     10.18     0.02   234304     0.00     0.00  mesh_integral_over_element
  0.19     10.20     0.02   134749     0.00     0.00  mesh_count_common_nodes
  0.19     10.22     0.02        1     0.02     0.07  mesh_element2cell
  0.10     10.23     0.01  1511040     0.00     0.00  mesh_subtract
  0.10     10.24     0.01   760344     0.00     0.00  mesh_three_node_triang_dhdr
  0.10     10.25     0.01   253440     0.00     0.00  PetscMemcpy
  0.10     10.26     0.01    63360     0.00     0.00  sn_elements_add_vacuum_bc
  0.10     10.27     0.01    44386     0.00     0.00  hyperrect_extend
  0.10     10.28     0.01        9     0.00     0.00  mesh_vtk_write_scalar
  0.10     10.29     0.01        2     0.01     0.01  mesh_tetrahedron_gauss_init
  0.00     10.29     0.00  1000577     0.00     0.00  mesh_alloc_fem_objects
  0.00     10.29     0.00   937216     0.00     0.00  mesh_add_material_to_list
  0.00     10.29     0.00   559488     0.00     0.00  mesh_dot
  0.00     10.29     0.00   468608     0.00     0.00  mesh_cross_dot
  0.00     10.29     0.00   190092     0.00     0.00  mesh_three_node_triang_h
  0.00     10.29     0.00    73728     0.00     0.00  mesh_normalized_cross
  0.00     10.29     0.00    52608     0.00     0.00  mesh_cross
  0.00     10.29     0.00    44387     0.00     0.00  kd_insert
  0.00     10.29     0.00    21120     0.00     0.00  mesh_find_element_volumetric_neighbor
  0.00     10.29     0.00    21120     0.00     0.00  mesh_subtract_dot
  0.00     10.29     0.00    21120     0.00     0.00  sn_elements_compute_outward_normal
  0.00     10.29     0.00     2268     0.00     0.00  mesh_twentyseven_node_hexahedron_dhdr
  0.00     10.29     0.00     1680     0.00     0.00  mesh_twenty_node_hexahedron_dhdr
  0.00     10.29     0.00      756     0.00     0.00  mesh_twentyseven_node_hexahedron_h
