Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 51.58      3.11     3.11 22744544     0.00     0.00  mesh_count_common_nodes
 11.44      3.80     0.69        1     0.69     3.80  mesh_find_neighbors
  5.64      4.14     0.34  1000576     0.00     0.00  mesh_compute_dxdr
  5.47      4.47     0.33        1     0.33     0.43  mesh_fill_neighbors
  3.81      4.70     0.23        1     0.23     1.18  wasora_instruction_mesh
  2.99      4.88     0.18 33739836     0.00     0.00  mesh_four_node_tetrahedron_dhdr
  2.32      5.02     0.14        1     0.14     0.21  diffusion_volumes_matrices_build
  2.16      5.15     0.13  1000576     0.00     0.00  mesh_add_element_to_list
  1.66      5.25     0.10    44387     0.00     0.00  kd_nearest_i
  1.33      5.33     0.08  1000576     0.00     0.00  mesh_determinant
  1.16      5.40     0.07  1171533     0.00     0.00  wasora_evaluate_expression
  1.16      5.47     0.07   989824     0.00     0.00  mesh_normalized_cross
  1.00      5.53     0.06        1     0.06     0.06  mesh_free
  1.00      5.59     0.06   468608     0.00     0.00  mesh_compute_element_barycenter
  1.00      5.65     0.06        1     0.06     0.19  mesh_gmsh_readmesh
  1.00      5.71     0.06        1     0.06     0.06  mesh_vtk_write_unstructured_mesh
  0.66      5.75     0.04    88774     0.00     0.00  mesh_point_in_tetrahedron
  0.50      5.78     0.03  1000576     0.00     0.00  mesh_integration_weight
  0.50      5.81     0.03   989824     0.00     0.00  mesh_cross
  0.50      5.84     0.03   975323     0.00     0.00  hyperrect_dist_sq
  0.33      5.86     0.02  3748884     0.00     0.00  mesh_four_node_tetrahedron_h
  0.33      5.88     0.02  1853312     0.00     0.00  mesh_subtract_dot
  0.33      5.90     0.02   468608     0.00     0.00  mesh_tetrahedron_vol
  0.33      5.92     0.02        1     0.02     0.02  diffusion_volumes_normalize_flux
  0.33      5.94     0.02        1     0.02     0.02  diffusion_volumes_results_fill_flux
  0.17      5.95     0.01  1000576     0.00     0.00  mesh_alloc_fem_objects
  0.17      5.96     0.01  1000576     0.00     0.00  mesh_compute_h
  0.17      5.97     0.01   468608     0.00     0.00  mesh_cross_dot
  0.17      5.98     0.01    44387     0.00     0.00  insert_rec
  0.17      5.99     0.01    44387     0.00     0.00  mesh_interpolate_function_cell
  0.17      6.00     0.01    44386     0.00     0.00  hyperrect_extend
  0.17      6.01     0.01        1     0.01     0.06  mesh_element2cell
  0.17      6.02     0.01                             mesh_interpolate_function_property
  0.08      6.03     0.01   190092     0.00     0.00  mesh_three_node_triang_h
  0.08      6.03     0.01        1     0.01     0.01  mesh_three_node_triangle_init
  0.00      6.03     0.00  2556224     0.00     0.00  MatSetValue
  0.00      6.03     0.00  1511040     0.00     0.00  mesh_subtract
  0.00      6.03     0.00   937216     0.00     0.00  mesh_add_material_to_list
  0.00      6.03     0.00   916096     0.00     0.00  mesh_subtract_squared_module
  0.00      6.03     0.00   760344     0.00     0.00  mesh_three_node_triang_dhdr
  0.00      6.03     0.00   702912     0.00     0.00  diffusion_volumes_cell_integral
  0.00      6.03     0.00    52608     0.00     0.00  mesh_dot
  0.00      6.03     0.00    44388     0.00     0.00  hyperrect_create
  0.00      6.03     0.00    44388     0.00     0.00  hyperrect_free
  0.00      6.03     0.00    44387     0.00     0.00  hyperrect_duplicate
  0.00      6.03     0.00    44387     0.00     0.00  kd_insert
  0.00      6.03     0.00    44387     0.00     0.00  kd_nearest
  0.00      6.03     0.00    44387     0.00     0.00  kd_res_item
  0.00      6.03     0.00    44387     0.00     0.00  kd_res_item_data
  0.00      6.03     0.00    44387     0.00     0.00  kd_res_rewind
  0.00      6.03     0.00    44387     0.00     0.00  rlist_insert
  0.00      6.03     0.00    44387     0.00     0.00  wasora_evaluate_function
  0.00      6.03     0.00     2268     0.00     0.00  mesh_twentyseven_node_hexahedron_dhdr
  0.00      6.03     0.00     1680     0.00     0.00  mesh_twenty_node_hexahedron_dhdr
  0.00      6.03     0.00      756     0.00     0.00  mesh_twentyseven_node_hexahedron_h
  0.00      6.03     0.00      560     0.00     0.00  mesh_twenty_node_hexahedron_h
  0.00      6.03     0.00      216     0.00     0.00  mesh_eight_node_hexahedron_dhdr
  0.00      6.03     0.00      180     0.00     0.00  mesh_nine_node_quad_dhdr
  0.00      6.03     0.00      172     0.00     0.00  wasora_get_next_token
  0.00      6.03     0.00      160     0.00     0.00  mesh_eight_node_quad_dhdr
  0.00      6.03     0.00      150     0.00     0.00  mesh_ten_node_tetrahedron_dhdr
  0.00      6.03     0.00      126     0.00     0.00  mesh_six_node_prism_dhdr
  0.00      6.03     0.00      120     0.00     0.00  wasora_mesh_add_node_parent
  0.00      6.03     0.00      114     0.00     0.00  wasora_read_line
  0.00      6.03     0.00       90     0.00     0.00  mesh_nine_node_quad_h
  0.00      6.03     0.00       90     0.00     0.00  wasora_check_name
  0.00      6.03     0.00       80     0.00     0.00  mesh_eight_node_quad_h
  0.00      6.03     0.00       72     0.00     0.00  mesh_eight_node_hexahedron_h
  0.00      6.03     0.00       70     0.00     0.00  wasora_define_variable
  0.00      6.03     0.00       70     0.00     0.00  wasora_free_var
  0.00      6.03     0.00       50     0.00     0.00  mesh_ten_node_tetrahedron_h
  0.00      6.03     0.00       50     0.00     0.00  wasora_mesh_compute_coords_from_parent
  0.00      6.03     0.00       48     0.00     0.00  mesh_six_node_triang_dhdr
  0.00      6.03     0.00       42     0.00     0.00  mesh_six_node_prism_h
  0.00      6.03     0.00       40     0.00     0.00  mesh_four_node_quad_dhdr
  0.00      6.03     0.00       37     0.00     0.00  wasora_destroy_expression
  0.00      6.03     0.00       36     0.00     0.00  wasora_parser_match_keyword_expression
  0.00      6.03     0.00       35     0.00     0.00  wasora_parse_factor
  0.00      6.03     0.00       33     0.00     0.00  wasora_parser_string
  0.00      6.03     0.00       28     0.00     0.00  mesh_alloc_gauss
  0.00      6.03     0.00       27     0.00     0.00  wasora_get_vector_ptr
  0.00      6.03     0.00       27     0.00     0.00  wasora_parse_madeup_expression
  0.00      6.03     0.00       26     0.00     0.00  mesh_init_shape_at_gauss
  0.00      6.03     0.00       26     0.00     0.00  wasora_get_matrix_ptr
  0.00      6.03     0.00       24     0.00     0.00  mesh_six_node_triang_h
  0.00      6.03     0.00       21     0.00     0.00  wasora_pop_error_message
  0.00      6.03     0.00       20     0.00     0.00  mesh_four_node_quad_h
  0.00      6.03     0.00       20     0.00     0.00  wasora_parse_line
  0.00      6.03     0.00       17     0.00     0.00  wasora_ends_in_init
  0.00      6.03     0.00       17     0.00     0.00  wasora_ends_in_zero
  0.00      6.03     0.00       17     0.00     0.00  wasora_get_builtin_function_ptr
  0.00      6.03     0.00       17     0.00     0.00  wasora_get_builtin_functional_ptr
  0.00      6.03     0.00       17     0.00     0.00  wasora_get_builtin_vectorfunction_ptr
  0.00      6.03     0.00       17     0.00     0.00  wasora_get_function_ptr
  0.00      6.03     0.00       17     0.00     0.00  wasora_get_variable_ptr
  0.00      6.03     0.00       15     0.00     0.00  wasora_define_instruction
  0.00      6.03     0.00       14     0.00     0.00  wasora_add_leading_zeros
  0.00      6.03     0.00       14     0.00     0.00  wasora_parse_expression
  0.00      6.03     0.00       14     0.00     0.00  wasora_strip_blanks
  0.00      6.03     0.00       12     0.00     0.00  wasora_instruction_print
  0.00      6.03     0.00       10     0.00     0.00  wasora_define_function
  0.00      6.03     0.00       10     0.00     0.00  wasora_free_function
  0.00      6.03     0.00        9     0.00     0.00  mesh_three_node_line_dhdr
  0.00      6.03     0.00        9     0.00     0.00  mesh_three_node_line_h
  0.00      6.03     0.00        8     0.00     0.00  milonga_resolve_xs_expr
  0.00      6.03     0.00        8     0.00     0.00  wasora_define_vector
  0.00      6.03     0.00        8     0.00     0.00  wasora_free_vector
  0.00      6.03     0.00        8     0.00     0.00  wasora_mesh_parse_line
  0.00      6.03     0.00        6     0.00     0.00  PetscTime
  0.00      6.03     0.00        6     0.00     0.00  mesh_two_node_line_dhdr
  0.00      6.03     0.00        6     0.00     0.00  mesh_two_node_line_h
  0.00      6.03     0.00        6     0.00     0.00  milonga_get_cpu_time
  0.00      6.03     0.00        5     0.00     0.00  wasora_define_file
  0.00      6.03     0.00        4     0.00     0.00  plugin_parse_line
  0.00      6.03     0.00        4     0.00     0.00  wasora_define_physical_property
  0.00      6.03     0.00        4     0.00     0.00  wasora_define_property_data
  0.00      6.03     0.00        4     0.00     0.00  wasora_fopen
  0.00      6.03     0.00        4     0.00     0.00  wasora_vector_init
  0.00      6.03     0.00        3     0.00     0.00  wasora_instruction_close_file
  0.00      6.03     0.00        3     0.00     0.00  wasora_realloc_variable_ptr
  0.00      6.03     0.00        2     0.00     0.03  diffusion_volumes_problem_free
  0.00      6.03     0.00        2     0.00     0.00  diffusion_volumes_results_fill_args
  0.00      6.03     0.00        2     0.00     0.00  mesh_hexa_gauss27_init
  0.00      6.03     0.00        2     0.00     0.00  mesh_tetrahedron_gauss_init
  0.00      6.03     0.00        2     0.00     0.00  milonga_debug_n_processors
  0.00      6.03     0.00        2     0.00     0.00  milonga_free_global_matrices
  0.00      6.03     0.00        2     0.00     0.00  milonga_free_global_vectors
  0.00      6.03     0.00        2     0.00     0.00  wasora_define_physical_entity
  0.00      6.03     0.00        2     0.00     0.00  wasora_evaluate_string
  0.00      6.03     0.00        2     0.00     0.00  wasora_instruction_open_file
  0.00      6.03     0.00        1     0.00     0.00  clear_rec
  0.00      6.03     0.00        1     0.00     4.28  diffusion_volumes_problem_init
  0.00      6.03     0.00        1     0.00     0.01  diffusion_volumes_results_fill_power
  0.00      6.03     0.00        1     0.00     0.00  kd_clear
  0.00      6.03     0.00        1     0.00     0.00  kd_create
  0.00      6.03     0.00        1     0.00     0.00  kd_free
  0.00      6.03     0.00        1     0.00     0.00  mesh_cell_indexes
  0.00      6.03     0.00        1     0.00     0.05  mesh_compute_coords
  0.00      6.03     0.00        1     0.00     0.00  mesh_eight_node_hexahedron_init
  0.00      6.03     0.00        1     0.00     0.00  mesh_eight_node_quadrangle_init
  0.00      6.03     0.00        1     0.00     0.00  mesh_four_node_quadrangle_init
  0.00      6.03     0.00        1     0.00     0.00  mesh_four_node_tetrahedron_init
  0.00      6.03     0.00        1     0.00     0.00  mesh_nine_node_quadrangle_init
  0.00      6.03     0.00        1     0.00     0.00  mesh_one_node_point_init
  0.00      6.03     0.00        1     0.00     0.00  mesh_six_node_prism_init
  0.00      6.03     0.00        1     0.00     0.00  mesh_six_node_triangle_init
  0.00      6.03     0.00        1     0.00     0.00  mesh_ten_node_tetrahedron_init
  0.00      6.03     0.00        1     0.00     0.00  mesh_three_node_line_init
  0.00      6.03     0.00        1     0.00     0.00  mesh_twenty_node_hexaedron_init
  0.00      6.03     0.00        1     0.00     0.00  mesh_twentyseven_node_hexaedron_init
  0.00      6.03     0.00        1     0.00     0.00  mesh_two_node_line_init
  0.00      6.03     0.00        1     0.00     0.00  mesh_vtk_write_header
  0.00      6.03     0.00        1     0.00     0.06  mesh_vtk_write_mesh
  0.00      6.03     0.00        1     0.00     0.18  mesh_vtk_write_scalar
  0.00      6.03     0.00        1     0.00     0.00  milonga_allocate_global_matrices
  0.00      6.03     0.00        1     0.00     0.00  milonga_allocate_global_vectors
  0.00      6.03     0.00        1     0.00     0.00  milonga_assembly_objects
  0.00      6.03     0.00        1     0.00     0.00  milonga_debug_cpu_info
  0.00      6.03     0.00        1     0.00     0.00  milonga_debug_cpu_info_free
