Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 28.81      3.97     3.97 32099661     0.00     0.00  wasora_evaluate_expression
 23.15      7.16     3.19 22752384     0.00     0.00  mesh_count_common_nodes
 10.52      8.61     1.45        1     1.45     6.13  sn_volumes_matrices_build
  6.39      9.49     0.88   399483     0.00     0.00  kd_nearest_i
  5.66     10.27     0.78        1     0.78     3.97  mesh_find_neighbors
  3.19     10.71     0.44  1000576     0.00     0.00  mesh_compute_dxdr
  2.54     11.06     0.35  8779248     0.00     0.00  hyperrect_dist_sq
  2.25     11.37     0.31 31865344     0.00     0.00  sn_volumes_cell_integral
  2.18     11.67     0.30        1     0.30     0.33  mesh_fill_neighbors
  1.74     11.91     0.24        1     0.24     1.29  wasora_instruction_mesh
  1.34     12.10     0.19 46607360     0.00     0.00  MatSetValue
  1.16     12.26     0.16 21986304     0.00     0.00  mesh_subtract_module
  1.09     12.41     0.15   399483     0.00     0.00  mesh_interpolate_function_cell
  1.09     12.56     0.15        1     0.15     0.15  sn_volumes_results_fill_flux
  1.02     12.70     0.14  1000576     0.00     0.00  mesh_add_element_to_list
  0.94     12.83     0.13   798966     0.00     0.00  mesh_point_in_tetrahedron
  0.80     12.94     0.11 33739836     0.00     0.00  mesh_four_node_tetrahedron_dhdr
  0.73     13.04     0.10  1000576     0.00     0.00  mesh_determinant
  0.73     13.14     0.10        1     0.10     0.10  mesh_free
  0.65     13.23     0.09   468608     0.00     0.00  mesh_compute_element_barycenter
  0.58     13.31     0.08  7550336     0.00     0.00  mesh_dot
  0.51     13.38     0.07        1     0.07     0.21  mesh_gmsh_readmesh
  0.51     13.45     0.07        1     0.07     0.07  mesh_vtk_write_unstructured_mesh
  0.33     13.49     0.05  3748884     0.00     0.00  mesh_four_node_tetrahedron_h
  0.22     13.52     0.03  1000576     0.00     0.00  mesh_integration_weight
  0.22     13.55     0.03   399483     0.00     0.00  kd_nearest
  0.15     13.57     0.02  1511040     0.00     0.00  mesh_subtract
  0.15     13.59     0.02   989824     0.00     0.00  mesh_normalized_cross
  0.15     13.61     0.02    44387     0.00     0.00  insert_rec
  0.15     13.63     0.02        1     0.02     0.02  sn_volumes_normalize_flux
  0.15     13.65     0.02                             find_nearest
  0.11     13.67     0.02                             VecSetValue
  0.07     13.68     0.01  1000576     0.00     0.00  mesh_alloc_fem_objects
  0.07     13.69     0.01  1000576     0.00     0.00  mesh_compute_h
  0.07     13.70     0.01   937216     0.00     0.00  mesh_subtract_dot
  0.07     13.71     0.01   760344     0.00     0.00  mesh_three_node_triang_dhdr
  0.07     13.72     0.01   399483     0.00     0.00  wasora_evaluate_function
  0.07     13.73     0.01        9     0.00     0.17  mesh_vtk_write_scalar
  0.07     13.74     0.01        1     0.01     0.01  mesh_cell_indexes
  0.07     13.75     0.01        1     0.01     0.06  mesh_element2cell
  0.07     13.76     0.01        1     0.01     0.04  sn_volumes_results_fill_power
  0.07     13.77     0.01                             mesh_interpolate_function_property
  0.07     13.78     0.01                             wasora_io_write_binary_file
  0.04     13.78     0.01        2     0.00     0.00  mesh_tetrahedron_gauss_init
  0.00     13.78     0.00   989824     0.00     0.00  mesh_cross
  0.00     13.78     0.00   937216     0.00     0.00  mesh_add_material_to_list
  0.00     13.78     0.00   468608     0.00     0.00  mesh_cross_dot
  0.00     13.78     0.00   468608     0.00     0.00  mesh_tetrahedron_vol
  0.00     13.78     0.00   399484     0.00     0.00  hyperrect_create
  0.00     13.78     0.00   399484     0.00     0.00  hyperrect_free
  0.00     13.78     0.00   399483     0.00     0.00  hyperrect_duplicate
  0.00     13.78     0.00   399483     0.00     0.00  kd_res_item
  0.00     13.78     0.00   399483     0.00     0.00  kd_res_item_data
  0.00     13.78     0.00   399483     0.00     0.00  kd_res_rewind
  0.00     13.78     0.00   399483     0.00     0.00  rlist_insert
  0.00     13.78     0.00   190092     0.00     0.00  mesh_three_node_triang_h
  0.00     13.78     0.00    44387     0.00     0.00  kd_insert
  0.00     13.78     0.00    44386     0.00     0.00  hyperrect_extend
  0.00     13.78     0.00     2268     0.00     0.00  mesh_twentyseven_node_hexahedron_dhdr
  0.00     13.78     0.00     1680     0.00     0.00  mesh_twenty_node_hexahedron_dhdr
  0.00     13.78     0.00      756     0.00     0.00  mesh_twentyseven_node_hexahedron_h
  0.00     13.78     0.00      560     0.00     0.00  mesh_twenty_node_hexahedron_h
  0.00     13.78     0.00      216     0.00     0.00  mesh_eight_node_hexahedron_dhdr
  0.00     13.78     0.00      180     0.00     0.00  mesh_nine_node_quad_dhdr
  0.00     13.78     0.00      172     0.00     0.00  wasora_get_next_token
  0.00     13.78     0.00      160     0.00     0.00  mesh_eight_node_quad_dhdr
  0.00     13.78     0.00      150     0.00     0.00  mesh_ten_node_tetrahedron_dhdr
  0.00     13.78     0.00      126     0.00     0.00  mesh_six_node_prism_dhdr
  0.00     13.78     0.00      120     0.00     0.00  wasora_mesh_add_node_parent
  0.00     13.78     0.00      114     0.00     0.00  wasora_read_line
  0.00     13.78     0.00       98     0.00     0.00  wasora_check_name
  0.00     13.78     0.00       90     0.00     0.00  mesh_nine_node_quad_h
  0.00     13.78     0.00       80     0.00     0.00  mesh_eight_node_quad_h
  0.00     13.78     0.00       72     0.00     0.00  mesh_eight_node_hexahedron_h
  0.00     13.78     0.00       70     0.00     0.00  wasora_define_variable
  0.00     13.78     0.00       70     0.00     0.00  wasora_free_var
  0.00     13.78     0.00       50     0.00     0.00  mesh_ten_node_tetrahedron_h
  0.00     13.78     0.00       50     0.00     0.00  wasora_mesh_compute_coords_from_parent
  0.00     13.78     0.00       48     0.00     0.00  mesh_six_node_triang_dhdr
  0.00     13.78     0.00       42     0.00     0.00  mesh_six_node_prism_h
  0.00     13.78     0.00       40     0.00     0.00  mesh_four_node_quad_dhdr
  0.00     13.78     0.00       37     0.00     0.00  wasora_destroy_expression
  0.00     13.78     0.00       36     0.00     0.00  wasora_parser_match_keyword_expression
  0.00     13.78     0.00       35     0.00     0.00  wasora_parse_factor
  0.00     13.78     0.00       33     0.00     0.00  wasora_parser_string
  0.00     13.78     0.00       28     0.00     0.00  mesh_alloc_gauss
  0.00     13.78     0.00       27     0.00     0.00  wasora_get_vector_ptr
  0.00     13.78     0.00       27     0.00     0.00  wasora_parse_madeup_expression
  0.00     13.78     0.00       26     0.00     0.00  mesh_init_shape_at_gauss
